id,n,city,st,type,cat,ws,web,ph,d,size
1,North Creek Nurseries,Landenberg,PA,Plug/Liner Producer,"[""Perennials"",""Grasses"",""Ferns"",""Natives""]",Wholesale Only,northcreeknurseries.com,610-255-0100,{},
2,Octoraro Native Plant Nursery,Kirkwood,PA,Native Specialist,"[""Natives"",""Trees"",""Shrubs""]",Wholesale Only,octoraro.com,717-529-3160,{},
3,Brandywine Trees,Paoli,PA,Wholesale Grower,"[""Trees""]",Wholesale Only,brandywinetrees.com,610-888-8422,{},
4,Wm. F. Hammell Nurseries,Honey Brook,PA,Wholesale Grower,"[""Trees""]",Wholesale Only,hammellnurseries.com,,{},
5,Feeney's Wholesale Nursery,Lahaska,PA,Wholesale Grower,"[""Trees"",""Shrubs"",""Perennials"",""Annuals""]",Wholesale Only,feeneyswholesale.com,,{},
6,Coles Nurseries,Lahaska,PA,Wholesale Grower,"[""Trees"",""Shrubs""]",Wholesale Only,colesnurseries.com,215-794-8863,{},
7,Peace Tree Farm,Kintnersville,PA,Wholesale Grower,"[""Herbs"",""Edibles"",""Annuals"",""Perennials""]",Wholesale Only,peacetreefarm.com,610-847-8152,{},
8,Highland Hill Farm,Fountainville,PA,Wholesale Grower,"[""Trees""]",Both,digatree.com,215-768-9229,{},
9,Clearview Nursery,Souderton,PA,Wholesale Grower,"[""Perennials"",""Annuals"",""Shrubs"",""Natives""]",Wholesale Only,clearviewplants.com,215-723-6444,{},
10,Gino's Nursery,Newtown,PA,Wholesale Grower,"[""Natives"",""Perennials""]",Both,ginosnursery.com,267-750-9042,{},
11,Gro 'n Sell,Chalfont,PA,Plug/Liner Producer,"[""Annuals"",""Perennials"",""Herbs"",""Edibles""]",Wholesale Only,gronsell.com,215-822-1276,{},
12,Groth Nurseries,Douglassville,PA,Wholesale Grower,"[""Trees"",""Shrubs"",""Perennials""]",Wholesale Only,grothnurseries.com,610-970-5500,{},
13,ArcheWild,Quakertown,PA,Native Specialist,"[""Natives"",""Grasses"",""Shrubs"",""Trees""]",Both,archewild.com,855-752-6862,{},
14,Heartwood Nursery,Felton,PA,Native Specialist,"[""Natives"",""Trees"",""Shrubs"",""Perennials"",""Ferns""]",Both,heartwoodnursery.net,717-993-5230,{},
15,Edge of the Woods Native Plant Nursery,Orefield,PA,Native Specialist,"[""Natives""]",Both,edgeofthewoodsnursery.com,610-395-2570,{},
16,Quality Greenhouses & Perennial Farm,Dillsburg,PA,Wholesale Grower,"[""Annuals"",""Perennials"",""Shrubs"",""Houseplants"",""Holiday""]",Wholesale Only,qualitygreenhouses.net,717-432-8900,{},
17,Musselman Greenhouses,Orrtanna,PA,Wholesale Grower,"[""Annuals"",""Perennials"",""Herbs"",""Holiday"",""Houseplants""]",Both,musselmangreenhouses.com,717-334-1187,{},
18,Huber Nurseries,Manheim,PA,Wholesale Grower,"[""Trees"",""Shrubs"",""Perennials""]",Both,hubernurseries.net,,{},
27,Miller Plant Farm,York,PA,Wholesale Grower,"[""Edibles"",""Herbs"",""Annuals""]",Both,millerplantfarm.com,717-792-4651,{},
21,Ernst Conservation Seeds,Meadville,PA,Seed Company,"[""Natives"",""Seeds""]",Both,ernstseed.com,800-873-3321,{},
23,Creek Hill Nursery,Leola,PA,Plug/Liner Producer,"[""Perennials"",""Grasses"",""Annuals""]",Wholesale Only,creekhillnursery.com,888-565-0050,{},
31,Wicklein's Water Gardens & Nursery,Baltimore,MD,Native Specialist,"[""Natives"",""Aquatics"",""Perennials""]",Both,wickleinswatergardens.com,410-823-1335,{},
32,Catoctin Mountain Growers,Detour,MD,Wholesale Grower,"[""Annuals"",""Perennials"",""Edibles""]",Wholesale Only,catoctinmountaingrowers.com,301-898-3033,{},
29,Babikow Greenhouses,Rosedale,MD,Wholesale Grower,"[""Perennials"",""Annuals"",""Grasses"",""Natives""]",Wholesale Only,babikow.com,410-391-4200,{},
30,Waverly Farm,Adamstown,MD,Wholesale Grower,"[""Trees"",""Shrubs""]",Wholesale Only,waverlyfarm.com,301-874-8300,{},
33,Tidal Creek Growers,Earleville,MD,Wholesale Grower,"[""Annuals"",""Perennials"",""Edibles""]",Wholesale Only,tidalcreekgrowers.com,410-275-9370,{},
34,Ruppert Nurseries,Laytonsville,MD,Wholesale Grower,"[""Trees""]",Wholesale Only,ruppertnurseries.com,301-482-2009,{},
38,Delmarva Native Plants,Quantico,MD,Native Specialist,"[""Natives"",""Aquatics"",""Grasses""]",Wholesale Only,delmarvanativeplants.com,410-742-0745,{},
39,Tideland Gardens,Queenstown,MD,Wholesale Grower,"[""Trees"",""Shrubs"",""Perennials""]",Wholesale Only,tidelandgardens.com,410-827-7333,{},
36,Clear Ridge Nursery,Union Bridge,MD,Native Specialist,"[""Natives"",""Trees"",""Shrubs""]",Wholesale Only,clearridgenursery.com,410-775-7700,{},
43,American Native Plants,Middle River,MD,Native Specialist,"[""Natives"",""Trees"",""Shrubs"",""Perennials""]",Wholesale Only,americannativeplants.com,410-529-0552,{},
59,Lucas Greenhouse,Monroeville,NJ,Wholesale Grower,"[""Annuals"",""Perennials"",""Edibles""]",Wholesale Only,lucasgreenhouse.com,856-358-8585,{},
60,Lennon Farm Greenhouses,Tabernacle,NJ,Wholesale Grower,"[""Annuals"",""Perennials""]",Wholesale Only,lennonfarm.com,609-268-0426,{},
48,Overdevest Nurseries,Bridgeton,NJ,Wholesale Grower,"[""Shrubs"",""Trees"",""Perennials"",""Annuals""]",Wholesale Only,grownbyoverdevest.com,856-451-3179,{},
49,New Moon Nursery,Bridgeton,NJ,Native Specialist,"[""Natives"",""Perennials"",""Grasses"",""Shrubs""]",Wholesale Only,newmoonnursery.com,856-455-4125,{},
53,Pinelands Nursery & Supply,Columbus,NJ,Native Specialist,"[""Natives"",""Seeds""]",Wholesale Only,pinelandsnursery.com,609-291-9486,{},
52,Riggins Nursery,Bridgeton,NJ,Wholesale Grower,"[""Shrubs"",""Trees"",""Perennials"",""Annuals""]",Wholesale Only,riggins-nursery.com,856-455-2459,{},
50,County Line Nurseries,Bridgeton,NJ,Wholesale Grower,"[""Trees"",""Shrubs"",""Perennials""]",Wholesale Only,countylinenurseries.com,856-453-1773,{},
61,DVFlora,Sewell,NJ,Broker/Distributor,"[""Annuals"",""Perennials"",""Houseplants""]",Wholesale Only,dvflora.com,856-468-7000,{},
65,Riverbend Nursery,Riner,VA,Wholesale Grower,"[""Perennials"",""Herbs"",""Grasses""]",Wholesale Only,riverbendnursery.com,540-763-3362,{},
69,Colesville Nursery,Ashland,VA,Wholesale Grower,"[""Trees"",""Shrubs"",""Perennials"",""Annuals""]",Wholesale Only,colesvillenursery.com,804-798-5472,{},
70,Eastern Shore Nursery of Virginia,Keller,VA,Wholesale Grower,"[""Trees"",""Edibles""]",Wholesale Only,esnursery.com,757-578-7732,{},
80,Costa Farms,Miami,FL,Wholesale Grower,"[""Houseplants"",""Tropicals"",""Succulents""]",Wholesale Only,costafarms.com,,{},
81,Dewar Nurseries,Apopka,FL,Wholesale Grower,"[""Tropicals"",""Annuals"",""Houseplants""]",Wholesale Only,dewar.com,407-886-1188,{},
82,Emerald Forest Tropicals,Homestead,FL,Wholesale Grower,"[""Tropicals"",""Houseplants""]",Wholesale Only,emeraldforesttropicals.com,,{},
83,Holt Nurseries,Apopka,FL,Wholesale Grower,"[""Succulents"",""Tropicals"",""Houseplants""]",Wholesale Only,holtnurseries.com,,{},
93,Knox Horticulture,Winter Garden,FL,Plug/Liner Producer,"[""Annuals"",""Perennials"",""Holiday""]",Wholesale Only,knoxhort.com,,{},
98,Morning Dew Tropical Plants,Delray Beach,FL,Broker/Distributor,"[""Tropicals"",""Houseplants""]",Wholesale Only,morningdewtropical.com,,{},
103,Aldershot Greenhouses,Burlington,ON,Wholesale Grower,"[""Annuals"",""Holiday"",""Houseplants""]",Wholesale Only,agl.ca,,{},
105,NVK Nurseries,West Flamborough,ON,Wholesale Grower,"[""Trees"",""Shrubs"",""Perennials""]",Wholesale Only,nvknurseries.com,,{},
109,Spring Meadow Nursery,Grand Haven,MI,Plug/Liner Producer,"[""Shrubs""]",Wholesale Only,springmeadownursery.com,,{},
110,Walters Gardens,Zeeland,MI,Plug/Liner Producer,"[""Perennials""]",Wholesale Only,waltersgardens.com,,{},
111,Hoffman Nursery,Rougemont,NC,Wholesale Grower,"[""Grasses"",""Natives""]",Wholesale Only,hoffmannursery.com,,{},
114,Sun Gro Horticulture (Fafard),Multiple,Regional,Supply Company,"[""Soil/Media""]",Wholesale Only,sungro.com,800-732-8667,{},
120,Minders Nursery,Lancaster,PA,Wholesale Grower,"[""Shrubs"",""Perennials""]",Wholesale Only,mindersgroundcover.com,717-872-9045,{},
121,Mountain Spring Nursery,Reinholds,PA,Wholesale Grower,"[""Trees"",""Shrubs"",""Perennials"",""Grasses""]",Wholesale Only,mountainspringnursery.com,717-354-7789,{},
122,Rosedale Growers,Quakertown,PA,Wholesale Grower,"[""Annuals"",""Perennials"",""Succulents"",""Houseplants"",""Ferns"",""Grasses""]",Both,rosedalegrowers.com,215-536-4827,{},
123,Musser Forests,Indiana,PA,Plug/Liner Producer,"[""Trees"",""Shrubs"",""Perennials"",""Grasses"",""Edibles""]",Wholesale Only,musserforests.com,724-465-5686,{},
124,Kline's Tree Farm,Carrolltown,PA,Wholesale Grower,"[""Trees""]",Wholesale Only,klinestreefarm.com,814-344-9945,{},
125,Brown's Tree Farm,Muncy,PA,Wholesale Grower,"[""Trees""]",Wholesale Only,brownstreefarm.com,570-546-3800,{},
126,Adams County Nursery,Aspers,PA,Wholesale Grower,"[""Trees"",""Edibles""]",Wholesale Only,acnursery.com,717-677-8105,{},
127,Boyer Nurseries & Orchards,Biglerville,PA,Wholesale Grower,"[""Trees"",""Shrubs"",""Edibles""]",Both,boyernurseries.com,717-677-8558,{},
128,Frysville Farms,Ephrata,PA,Wholesale Grower,"[""Holiday"",""Trees"",""Annuals""]",Both,frysvillefarms.com,717-354-4501,{},
129,Schroeder Gardens,Millersville,PA,Wholesale Grower,"[""Natives"",""Trees"",""Shrubs"",""Perennials""]",Both,schroedergardens.com,717-872-4522,{},
130,Go Native Trees,Manheim,PA,Native Specialist,"[""Natives"",""Trees"",""Shrubs""]",Wholesale Only,gonativetrees.com,717-399-0195,{},
131,Esbenshade's Greenhouses,Lititz,PA,Wholesale Grower,"[""Holiday"",""Annuals"",""Perennials""]",Wholesale Only,esbenshades.com,717-626-7007,{},
132,Moyers Mum Farm,Jonestown,PA,Wholesale Grower,"[""Holiday"",""Annuals""]",Wholesale Only,moyersmumfarm.squarespace.com,,{},
133,Holly Hill Farms,Earleville,MD,Wholesale Grower,"[""Shrubs"",""Perennials""]",Wholesale Only,hollyhillfarms.net,610-287-8610,{},
134,New Blooms Greenhouse,Duncannon,PA,Wholesale Grower,"[""Annuals"",""Perennials"",""Herbs"",""Holiday""]",Both,newbloomsgreenhouse.com,717-834-5333,{},
135,Holly Days Nursery,Lower Gwynedd,PA,Wholesale Grower,"[""Perennials"",""Annuals"",""Tropicals"",""Aquatics""]",Both,hollydaysnursery.com,215-699-0833,{},
136,Splash Plants,York,PA,Wholesale Grower,"[""Aquatics""]",Wholesale Only,splashplants.com,,{},
140,Raemelton Farm,Adamstown,MD,Wholesale Grower,"[""Trees""]",Wholesale Only,raemelton.com,301-831-8130,{},
141,Cavano's Perennials,Kingsville,MD,Wholesale Grower,"[""Perennials"",""Natives"",""Ferns"",""Grasses"",""Herbs""]",Wholesale Only,cavanos.com,410-665-0500,{},
142,Ecotone Native Nursery,Baldwin,MD,Native Specialist,"[""Natives"",""Trees"",""Shrubs""]",Wholesale Only,ecotoneinc.com,410-420-2600,{},
143,Sun Nurseries,Woodbine,MD,Wholesale Grower,"[""Trees"",""Shrubs"",""Edibles"",""Herbs"",""Annuals""]",Both,sunnurseries.com,410-442-2090,{},
144,Kollar Nursery,Pylesville,MD,Native Specialist,"[""Natives"",""Trees"",""Shrubs""]",Wholesale Only,kollarnursery.com,410-836-0500,{},
145,Bell Nursery,Burtonsville,MD,Wholesale Grower,"[""Annuals"",""Perennials"",""Succulents"",""Houseplants"",""Tropicals"",""Trees"",""Shrubs""]",Wholesale Only,bellnursery.com,301-421-1500,{},
146,Maryland Aquatic Nurseries,Jarrettsville,MD,Wholesale Grower,"[""Aquatics"",""Natives""]",Wholesale Only,marylandaquatic.com,877-736-1807,{},
147,Patuxent Nursery,Bowie,MD,Wholesale Grower,"[""Trees"",""Shrubs"",""Edibles"",""Herbs"",""Holiday""]",Both,patuxentnursery.com,301-218-1800,{},
160,Bruce Jensen Nurseries,Apopka,FL,Wholesale Grower,"[""Tropicals"",""Houseplants""]",Wholesale Only,bjnplants.com,407-889-3500,{},
161,Wekiwa Gardens,Apopka,FL,Wholesale Grower,"[""Tropicals"",""Houseplants"",""Annuals""]",Wholesale Only,wekiwagardens.com,407-889-3000,{},
162,Biostok Foliage,Apopka,FL,Wholesale Grower,"[""Tropicals"",""Houseplants"",""Succulents"",""Ferns""]",Wholesale Only,biostok.com,407-371-9913,{},
163,Redland Nursery,Homestead,FL,Wholesale Grower,"[""Tropicals"",""Trees"",""Shrubs"",""Succulents"",""Ferns""]",Wholesale Only,redlandnursery.com,305-248-5109,{},
164,Sunshine Tropical Foliage,Homestead,FL,Wholesale Grower,"[""Tropicals"",""Houseplants"",""Succulents""]",Wholesale Only,sunshinetropical.com,305-257-1010,{},
165,TreeWorld Wholesale,Homestead,FL,Wholesale Grower,"[""Trees"",""Tropicals"",""Shrubs"",""Natives""]",Wholesale Only,treeworldwholesale.com,305-245-6886,{},
166,Plant Life Farms,Homestead,FL,Wholesale Grower,"[""Tropicals"",""Trees"",""Shrubs"",""Houseplants""]",Wholesale Only,plantlifefarms.com,305-278-9192,{},
167,Bernecker's Nursery,Miami,FL,Wholesale Grower,"[""Tropicals"",""Houseplants"",""Annuals""]",Wholesale Only,berneckers.com,305-247-8577,{},
168,Native Tree Nursery,Homestead,FL,Native Specialist,"[""Natives"",""Tropicals"",""Trees""]",Wholesale Only,nativetreenursery.com,305-247-4499,{},
169,Mid Florida Nurseries,Plant City,FL,Wholesale Grower,"[""Trees"",""Shrubs"",""Tropicals"",""Perennials""]",Wholesale Only,midfloridanurseries.com,813-707-5555,{},
175,Rockwell Farms,Rockwell,NC,Wholesale Grower,"[""Holiday"",""Annuals"",""Perennials"",""Houseplants""]",Wholesale Only,rockwellfarms.com,704-279-5589,{},
176,Acorn Farms,Galena,OH,Wholesale Grower,"[""Holiday"",""Shrubs"",""Perennials"",""Annuals"",""Succulents""]",Wholesale Only,acornfarms.com,614-891-9348,{},
177,Dickman Farms,Auburn,NY,Wholesale Grower,"[""Holiday"",""Annuals""]",Wholesale Only,dickmanfarms.com,315-253-3030,{},
178,Van Engelen Inc,Bantam,CT,Wholesale Grower,"[""Holiday"",""Annuals""]",Wholesale Only,vanengelen.com,,{},
179,Colorblends Wholesale Flower Bulbs,Bridgeport,CT,Wholesale Grower,"[""Holiday"",""Annuals""]",Wholesale Only,colorblends.com,,{},
180,KGS Plants,Shelby,NC,Wholesale Grower,"[""Holiday"",""Annuals"",""Perennials""]",Wholesale Only,kgsplants.com,,{},
200,Griffin Greenhouse Supplies,Tewksbury,MA,Supply Company,"[""Soil/Media""]",Wholesale Only,griffins.com,800-888-0054,{},
201,Nolt's Greenhouse Supplies,Ephrata,PA,Supply Company,"[""Soil/Media""]",Both,noltsgreenhousesupplies.com,717-354-8376,{},
202,HC Companies,Twinsburg,OH,Supply Company,"[""Soil/Media""]",Wholesale Only,hc-companies.com,800-328-8456,{},
203,Kirby Agri,Lancaster,PA,Supply Company,"[""Soil/Media""]",Wholesale Only,kirbyagri.com,717-786-8191,{},
204,Plant Food Company,Cranbury,NJ,Supply Company,"[""Soil/Media""]",Wholesale Only,plantfoodco.com,800-562-1291,{},
205,MasterTag,Montague,MI,Supply Company,"[""Soil/Media""]",Wholesale Only,mastertag.com,800-253-0439,{},
206,BWI Companies,Multiple,Regional,Supply Company,"[""Soil/Media""]",Wholesale Only,bwicompanies.com,,{},
207,SiteOne Landscape Supply,Multiple,Regional,Supply Company,"[""Soil/Media""]",Both,siteone.com,800-748-3663,{},
208,Aquarius Supply,Norristown,PA,Supply Company,"[""Soil/Media""]",Wholesale Only,aquariussupply.com,610-277-9764,{},
209,Beneficial Insectary,Redding,CA,Supply Company,"[""Soil/Media""]",Wholesale Only,insectary.com,800-477-3715,{},
210,ARBICO Organics,Oro Valley,AZ,Supply Company,"[""Soil/Media""]",Both,arbico-organics.com,800-827-2847,{},
211,Organic Mechanics Soil,Modena,PA,Supply Company,"[""Soil/Media""]",Both,organicmechanicsoil.com,610-380-4598,{},
244,Blue Sky Nursery,Lincoln,ON,Wholesale Grower,"[""Trees"",""Shrubs"",""Perennials""]",Wholesale Only,blueskynursery.ca,905-563-4245,{},
200,Floral King Wholesale Nursery,Lititz,PA,Wholesale Grower,"[""Perennials"",""Annuals"",""Houseplants""]",Wholesale Only,floralkingnursery.com,717-627-1588,{},
201,Musser Forests Inc,Indiana,PA,Wholesale Grower,"[""Trees"",""Shrubs"",""Seedlings""]",Wholesale Only,musserforests.com,724-465-5611,{},
202,Colebrook Nursery,Ephrata,PA,Plug/Liner Producer,"[""Perennials"",""Annuals"",""Vegetable""]",Wholesale Only,colebrooknursery.com,717-733-5002,{},
203,Meadowview Wholesale Nursery,West Chester,PA,Wholesale Grower,"[""Perennials"",""Shrubs"",""Natives""]",Wholesale Only,meadowviewnursery.com,610-692-0851,{},
204,Sunnyslope Nurseries,Lansdale,PA,Wholesale Grower,"[""Annuals"",""Perennials"",""Seasonal""]",Wholesale Only,sunnyslope-nurseries.com,215-855-5211,{},
205,York Nursery & Garden Center Supply,York,PA,Wholesale Broker,"[""Perennials"",""Annuals"",""Hard Goods""]",Wholesale + Retail,yorknursery.com,717-843-4121,{},
206,Lebanon Ornamental Nursery,Lebanon,PA,Wholesale Grower,"[""Ornamentals"",""Shrubs"",""Trees""]",Wholesale Only,lebanonnursery.com,717-272-8855,{},
207,Eppley Nursery,Denver,PA,Wholesale Grower,"[""Perennials"",""Annuals"",""Vegetables""]",Wholesale Only,eppley-nursery.com,717-336-2112,{},
208,Herr's Nursery & Garden Center,Akron,PA,Wholesale Grower,"[""Annuals"",""Perennials"",""Houseplants""]",Wholesale + Retail,herrsnursery.com,717-859-1133,{},
209,Meadow Fresh Perennials,Coatesville,PA,Wholesale Grower,"[""Perennials"",""Grasses"",""Natives""]",Wholesale Only,meadowfreshperennials.com,610-383-0122,{},
210,Adams County Greenhouse & Nursery,Gettysburg,PA,Wholesale Grower,"[""Annuals"",""Perennials"",""Seasonal""]",Wholesale Only,adamscountygreenhouse.com,717-334-4871,{},
211,Sunrise Nursery Supply,Hatfield,PA,Wholesale Grower,"[""Annuals"",""Perennials"",""Tropicals""]",Wholesale Only,sunrisenurserysupply.com,215-721-0833,{},
244,Blue Sky Nursery,Lincoln,ON,Wholesale Grower,"[""Annuals"",""Perennials"",""Trees"",""Shrubs""]",Wholesale Only,blueskynursery.ca,905-563-4245,{},
306,HeadStart Nursery,Apopka,FL,Plug/Liner Producer,"[""Annuals"",""Perennials"",""Herbs""]",Wholesale + Retail,headstartnursery.com,407-886-0990,{},
312,Cactus King,Homestead,FL,Wholesale Grower,"[""Succulents"",""Specialty""]",Wholesale + Retail,cactuskingfl.com,305-248-1234,{},
367,Growella,Jacksonville,FL,Supply/Hard Goods,"[""Hard Goods"",""Soil/Media""]",Wholesale Only,growella.com,904-354-8765,{},
379,Prairie Moon Nursery,Winona,MN,Seed Producer,"[""Seeds"",""Natives""]",Wholesale + Retail,prairiemoon.com,507-452-1362,{},
381,American Meadows,Middlebury,VT,Seed Producer,"[""Seeds"",""Natives"",""Wildflowers""]",Wholesale + Retail,americanmeadows.com,802-463-2345,{},
389,Ernst Conservation Seeds,Meadville,PA,Seed Producer,"[""Seeds"",""Natives"",""Wildflowers""]",Wholesale Only,ernstseeds.com,814-336-2404,{},35
